Unnamed: 0,country,code,confirmed,recovered,critical,deaths,lastChange,lastUpdate
234,USA,US,111820082,109814428,940,1219487,2024-06-04T00:17:41+00:00,2024-08-09T09:13:41+00:00
76,France,FR,40138560,39970918,0,167642,2024-02-11T22:10:37+00:00,2024-08-09T09:13:41+00:00
83,Germany,DE,38828995,38240600,0,183027,2024-06-04T00:23:42+00:00,2024-08-09T09:13:41+00:00
31,Brazil,BR,38743918,36249161,0,711380,2024-06-04T00:26:42+00:00,2024-08-09T09:13:41+00:00
119,S. Korea,KR,34571873,34535939,0,35934,2024-02-11T22:15:03+00:00,2024-08-09T09:13:41+00:00
110,Italy,IT,26723249,26361218,22,196487,2024-06-04T00:25:34+00:00,2024-08-09T09:13:41+00:00
233,UK,GB,24910387,24678275,0,232112,2024-06-04T00:20:15+00:00,2024-08-09T09:13:41+00:00
183,Russia,RU,24124215,23545818,0,402756,2024-06-04T00:16:55+00:00,2024-08-09T09:13:41+00:00
209,Spain,ES,13914811,13762417,231,121760,2024-06-04T00:21:38+00:00,2024-08-09T09:13:41+00:00
13,Australia,AU,11853144,11820014,3,24414,2024-06-04T00:23:47+00:00,2024-08-09T09:13:41+00:00
